ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
1, D, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:17 PM, (1 : 1)
1, D, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:17 PM, (1 : 1)
1, D, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:18 PM, (1 : 3)
1, D, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:18 PM, (1 : 3)
1, D, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:18 PM, (1 : 3)
1, D, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:19 PM, (1 : 7)
1, D, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:19 PM, (1 : 7)
1, D, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:21 PM, (8 : 7)
1, D, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:21 PM, (8 : 7)
1, D, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:22 PM, (8 : 5)
1, D, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:22 PM, (8 : 5)
1, D, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:22 PM, (11 : 5)
1, D, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:23 PM, (11 : 5)
1, D, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:23 PM, (11 : 7)
1, D, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:24 PM, (11 : 7)
1, D, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:24 PM, (11 : 7)
1, D, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:24 PM, (11 : 9)
1, D, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:24 PM, (11 : 9)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:34 PM, (7 : 5)
1, T, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:34 PM, (7 : 5)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:35 PM, (7 : 1)
1, T, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:35 PM, (7 : 1)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:36 PM, (5 : 1)
1, T, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:36 PM, (5 : 1)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:37 PM, (5 : 5)
1, T, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:38 PM, (5 : 5)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:38 PM, (3 : 5)
1, T, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:39 PM, (3 : 5)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:39 PM, (3 : 3)
1, T, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:39 PM, (3 : 3)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:40 PM, (1 : 3)
1, T, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:40 PM, (1 : 3)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:41 PM, (1 : 7)
1, T, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:42 PM, (1 : 7)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:45 PM, (8 : 7)
1, T, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:45 PM, (8 : 7)
1, T, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:45 PM, (8 : 7)
1, T, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:45 PM, (8 : 7)
1, T, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:46 PM, (8 : 7)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:46 PM, (9 : 7)
1, T, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:46 PM, (9 : 7)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:47 PM, (9 : 9)
1, T, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:47 PM, (9 : 9)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:49 PM, (3 : 9)
1, T, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:49 PM, (3 : 9)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:49 PM, (3 : 11)
1, T, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:50 PM, (3 : 11)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:52 PM, (11 : 11)
1, T, Ego, 2, 1, Rotate Right, 0, Ego, 0, , 4/14/2021 7:41:52 PM, (11 : 11)
1, T, Ego, 2, 1, Forward, 0, Ego, 0, , 4/14/2021 7:41:52 PM, (11 : 9)
1, T, Ego, 2, 1, Rotate Left, 0, Ego, 0, , 4/14/2021 7:41:53 PM, (11 : 9)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:00 PM, (7 : 5)
1, T, Ego, 2, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:00 PM, (7 : 5)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:01 PM, (7 : 1)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:01 PM, (7 : 1)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:02 PM, (5 : 1)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:02 PM, (5 : 1)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:04 PM, (5 : 5)
1, T, Ego, 2, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:04 PM, (5 : 5)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:05 PM, (3 : 5)
1, T, Ego, 2, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:05 PM, (3 : 5)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:06 PM, (3 : 3)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:06 PM, (3 : 3)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:06 PM, (1 : 3)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:06 PM, (1 : 3)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:08 PM, (1 : 7)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:08 PM, (1 : 7)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:09 PM, (8 : 7)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:09 PM, (8 : 7)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:10 PM, (8 : 5)
1, T, Ego, 2, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:10 PM, (8 : 5)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:11 PM, (11 : 5)
1, T, Ego, 2, 2, Rotate Left, 0, Ego, 0, , 4/14/2021 7:42:11 PM, (11 : 5)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:12 PM, (11 : 7)
1, T, Ego, 2, 2, Forward, 0, Ego, 0, , 4/14/2021 7:42:13 PM, (11 : 9)
1, T, Ego, 2, 2, Rotate Right, 0, Ego, 0, , 4/14/2021 7:42:13 PM, (11 : 9)
1, D, Ego, 1, 1, Forward, 0, Ego, 0, , 4/14/2021 7:42:16 PM, (1 : 3)
