ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
16, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:28 AM, (1 : 11)
16, D, Allo, 3, 1, Left, 0, Ego, 0, , 4/27/2021 11:03:28 AM, (1 : 7)
16, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:29 AM, (3 : 7)
16, D, Allo, 3, 1, Right, 0, Ego, 0, , 4/27/2021 11:03:29 AM, (3 : 9)
16, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:30 AM, (7 : 9)
16, D, Allo, 3, 1, Left, 0, Ego, 0, , 4/27/2021 11:03:31 AM, (7 : 5)
16, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:32 AM, (9 : 5)
16, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:33 AM, (13 : 5)
16, T, Allo, 3, 1, Right, 0, Ego, 0, , 4/27/2021 11:03:34 AM, (7 : 13)
16, T, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:35 AM, (9 : 13)
16, T, Allo, 3, 1, Left, 0, Ego, 0, , 4/27/2021 11:03:36 AM, (9 : 8)
16, T, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:36 AM, (11 : 8)
16, T, Allo, 3, 1, Left, 0, Ego, 0, , 4/27/2021 11:03:37 AM, (11 : 7)
16, T, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:37 AM, (13 : 7)
16, T, Allo, 3, 1, Left, 0, Ego, 0, , 4/27/2021 11:03:38 AM, (13 : 5)
16, T, Allo, 3, 2, Right, 0, Ego, 0, , 4/27/2021 11:03:40 AM, (7 : 13)
16, T, Allo, 3, 2, Down, 0, Ego, 0, , 4/27/2021 11:03:40 AM, (9 : 13)
16, T, Allo, 3, 2, Left, 0, Ego, 0, , 4/27/2021 11:03:41 AM, (9 : 8)
16, T, Allo, 3, 2, Down, 0, Ego, 0, , 4/27/2021 11:03:42 AM, (11 : 8)
16, T, Allo, 3, 2, Left, 0, Ego, 0, , 4/27/2021 11:03:42 AM, (11 : 7)
16, T, Allo, 3, 2, Down, 0, Ego, 0, , 4/27/2021 11:03:43 AM, (13 : 7)
16, T, Allo, 3, 2, Left, 0, Ego, 0, , 4/27/2021 11:03:43 AM, (13 : 5)
16, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:44 AM, (1 : 1)
16, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:45 AM, (5 : 1)
16, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:46 AM, (7 : 1)
16, D, Allo, 2, 1, Right, 0, Ego, 0, , 4/27/2021 11:03:47 AM, (7 : 5)
16, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:47 AM, (8 : 5)
16, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:48 AM, (11 : 5)
16, D, Allo, 2, 1, Right, 0, Ego, 0, , 4/27/2021 11:03:48 AM, (11 : 7)
16, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:49 AM, (13 : 7)
16, D, Allo, 2, 1, Left, 0, Ego, 0, , 4/27/2021 11:03:50 AM, (13 : 3)
16, D, Allo, 2, 1, Right, 1, Ego, 0, , 4/27/2021 11:03:51 AM, (13 : 7)
16, D, Allo, 2, 1, Up, 2, Ego, 0, , 4/27/2021 11:03:52 AM, (11 : 7)
16, D, Allo, 2, 1, Right, 2, Ego, 0, , 4/27/2021 11:03:52 AM, (11 : 9)
16, T, Allo, 2, 1, Left, 0, Ego, 0, , 4/27/2021 11:03:54 AM, (9 : 1)
16, T, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:55 AM, (11 : 1)
16, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/27/2021 11:03:55 AM, (11 : 3)
16, T, Allo, 2, 1, Down, 0, Ego, 0, , 4/27/2021 11:03:56 AM, (13 : 3)
16, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/27/2021 11:03:57 AM, (13 : 7)
16, T, Allo, 2, 1, Up, 0, Ego, 0, , 4/27/2021 11:03:57 AM, (11 : 7)
16, T, Allo, 2, 1, Right, 0, Ego, 0, , 4/27/2021 11:03:58 AM, (11 : 9)
16, T, Allo, 2, 2, Left, 0, Ego, 0, , 4/27/2021 11:04:00 AM, (9 : 1)
16, T, Allo, 2, 2, Down, 0, Ego, 0, , 4/27/2021 11:04:00 AM, (11 : 1)
16, T, Allo, 2, 2, Right, 0, Ego, 0, , 4/27/2021 11:04:01 AM, (11 : 3)
16, T, Allo, 2, 2, Down, 0, Ego, 0, , 4/27/2021 11:04:01 AM, (13 : 3)
16, T, Allo, 2, 2, Right, 0, Ego, 0, , 4/27/2021 11:04:02 AM, (13 : 7)
16, T, Allo, 2, 2, Up, 0, Ego, 0, , 4/27/2021 11:04:02 AM, (11 : 7)
16, T, Allo, 2, 2, Right, 0, Ego, 0, , 4/27/2021 11:04:03 AM, (11 : 9)
