ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
37, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 3:07:14 PM, (1 : 11)
37, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 3:07:15 PM, (5 : 11)
37, D, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 3:07:16 PM, (7 : 11)
37, D, Allo, 3, 1, Right, 0, Ego, 33, , 4/27/2021 3:07:16 PM, (7 : 13)
37, D, Allo, 3, 1, Down, 0, Ego, 33, , 4/27/2021 3:07:17 PM, (9 : 13)
37, D, Allo, 3, 1, Left, 0, Ego, 33, , 4/27/2021 3:07:18 PM, (9 : 8)
37, D, Allo, 3, 1, Down, 0, Ego, 33, , 4/27/2021 3:07:18 PM, (11 : 8)
37, D, Allo, 3, 1, Left, 0, Ego, 33, , 4/27/2021 3:07:19 PM, (11 : 7)
37, D, Allo, 3, 1, Down, 0, Ego, 33, , 4/27/2021 3:07:20 PM, (13 : 7)
37, D, Allo, 3, 1, Left, 0, Ego, 33, , 4/27/2021 3:07:20 PM, (13 : 5)
37, T, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 3:07:24 PM, (7 : 11)
37, T, Allo, 3, 1, Right, 0, Ego, 0, , 4/27/2021 3:07:25 PM, (7 : 13)
37, T, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 3:07:25 PM, (9 : 13)
37, T, Allo, 3, 1, Left, 0, Ego, 0, , 4/27/2021 3:07:26 PM, (9 : 8)
37, T, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 3:07:27 PM, (11 : 8)
37, T, Allo, 3, 1, Left, 0, Ego, 0, , 4/27/2021 3:07:27 PM, (11 : 7)
37, T, Allo, 3, 1, Down, 0, Ego, 0, , 4/27/2021 3:07:28 PM, (13 : 7)
37, T, Allo, 3, 1, Left, 0, Ego, 0, , 4/27/2021 3:07:28 PM, (13 : 5)
37, T, Allo, 3, 2, Down, 0, Ego, 0, , 4/27/2021 3:07:30 PM, (7 : 11)
37, T, Allo, 3, 2, Right, 0, Ego, 0, , 4/27/2021 3:07:31 PM, (7 : 13)
37, T, Allo, 3, 2, Down, 0, Ego, 0, , 4/27/2021 3:07:32 PM, (9 : 13)
37, T, Allo, 3, 2, Left, 0, Ego, 0, , 4/27/2021 3:07:34 PM, (9 : 8)
37, T, Allo, 3, 2, Down, 0, Ego, 0, , 4/27/2021 3:07:35 PM, (11 : 8)
37, T, Allo, 3, 2, Left, 0, Ego, 0, , 4/27/2021 3:07:36 PM, (11 : 7)
37, T, Allo, 3, 2, Right, 1, Ego, 0, , 4/27/2021 3:07:36 PM, (11 : 8)
37, T, Allo, 3, 2, Left, 2, Ego, 0, , 4/27/2021 3:07:36 PM, (11 : 7)
37, T, Allo, 3, 2, Down, 2, Ego, 0, , 4/27/2021 3:07:37 PM, (13 : 7)
37, T, Allo, 3, 2, Left, 2, Ego, 0, , 4/27/2021 3:07:37 PM, (13 : 5)
37, T, Allo, 3, 2, Left, 2, Ego, 0, , 4/27/2021 3:07:38 PM, (13 : 1)
37, T, Allo, 3, 2, Right, 3, Ego, 0, , 4/27/2021 3:07:39 PM, (13 : 5)
