ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
1, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/30/2021 10:38:31 PM, (1 : 1)
1, D, Allo, 2, 1, Down, 0, Ego, 0, , 4/30/2021 10:38:32 PM, (3 : 1)
1, D, Allo, 2, 1, Up, 1, Ego, 0, , 4/30/2021 10:38:33 PM, (1 : 1)
1, D, Allo, 2, 1, Right, 1, Ego, 0, , 4/30/2021 10:38:34 PM, (1 : 3)
1, D, Allo, 2, 1, Right, 1, Ego, 0, , 4/30/2021 10:38:36 PM, (1 : 11)
1, D, Allo, 2, 1, Down, 1, Ego, 0, , 4/30/2021 10:38:36 PM, (2 : 11)
1, D, Allo, 2, 1, Up, 2, Ego, 0, , 4/30/2021 10:38:37 PM, (1 : 11)
1, D, Allo, 2, 1, Right, 2, Ego, 0, , 4/30/2021 10:38:37 PM, (1 : 13)
1, D, Allo, 2, 1, Down, 2, Ego, 0, , 4/30/2021 10:38:39 PM, (9 : 13)
1, D, Allo, 2, 1, Left, 2, Ego, 0, , 4/30/2021 10:38:40 PM, (9 : 11)
1, D, Allo, 2, 1, Down, 2, Ego, 0, , 4/30/2021 10:38:41 PM, (11 : 11)
1, D, Allo, 2, 1, Left, 2, Ego, 0, , 4/30/2021 10:38:41 PM, (11 : 8)
1, D, Allo, 2, 1, Left, 2, Ego, 0, , 4/30/2021 10:38:42 PM, (11 : 7)
1, D, Allo, 2, 1, Left, 2, Ego, 0, , 4/30/2021 10:38:42 PM, (11 : 5)
1, D, Allo, 2, 1, Left, 2, Ego, 0, , 4/30/2021 10:38:43 PM, (11 : 3)
1, D, Allo, 2, 1, Left, 2, Ego, 0, , 4/30/2021 10:38:44 PM, (11 : 1)
1, D, Allo, 2, 1, Up, 2, Ego, 0, , 4/30/2021 10:38:44 PM, (9 : 1)
1, T, Allo, 2, 1, Left, 0, Ego, 0, , 4/30/2021 10:38:46 PM, (9 : 11)
1, T, Allo, 2, 1, Up, 0, Ego, 0, , 4/30/2021 10:38:47 PM, (4 : 11)
1, T, Allo, 2, 1, Down, 1, Ego, 0, , 4/30/2021 10:38:48 PM, (9 : 11)
1, T, Allo, 2, 1, Down, 1, Ego, 0, , 4/30/2021 10:38:49 PM, (11 : 11)
1, T, Allo, 2, 1, Left, 1, Ego, 0, , 4/30/2021 10:38:50 PM, (11 : 8)
1, T, Allo, 2, 1, Left, 1, Ego, 0, , 4/30/2021 10:38:50 PM, (11 : 7)
1, T, Allo, 2, 1, Left, 1, Ego, 0, , 4/30/2021 10:38:51 PM, (11 : 5)
1, T, Allo, 2, 1, Left, 1, Ego, 0, , 4/30/2021 10:38:51 PM, (11 : 3)
1, T, Allo, 2, 1, Left, 1, Ego, 0, , 4/30/2021 10:38:52 PM, (11 : 1)
1, T, Allo, 2, 1, Up, 1, Ego, 0, , 4/30/2021 10:38:52 PM, (9 : 1)
1, T, Allo, 2, 2, Up, 0, Ego, 0, , 4/30/2021 10:38:56 PM, (1 : 13)
1, T, Allo, 2, 2, Down, 0, Ego, 0, , 4/30/2021 10:38:58 PM, (9 : 13)
1, T, Allo, 2, 2, Left, 0, Ego, 0, , 4/30/2021 10:38:58 PM, (9 : 11)
1, T, Allo, 2, 2, Up, 0, Ego, 0, , 4/30/2021 10:38:59 PM, (4 : 11)
1, T, Allo, 2, 2, Down, 1, Ego, 0, , 4/30/2021 10:39:00 PM, (9 : 11)
1, T, Allo, 2, 2, Down, 1, Ego, 0, , 4/30/2021 10:39:01 PM, (11 : 11)
